Date,VD_diff
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,7.0
2020-03-08,10.0
2020-03-09,11.0
2020-03-10,79.0
2020-03-11,73.0
2020-03-12,74.0
2020-03-13,93.0
2020-03-14,107.0
2020-03-15,89.0
2020-03-16,231.0
2020-03-17,244.0
2020-03-18,263.0
2020-03-19,211.0
2020-03-20,239.0
2020-03-21,119.0
2020-03-22,102.0
2020-03-23,306.0
2020-03-24,265.0
2020-03-25,192.0
2020-03-26,205.0
2020-03-27,234.0
2020-03-28,131.0
2020-03-29,85.0
2020-03-30,212.0
2020-03-31,159.0
2020-04-01,152.0
2020-04-02,134.0
2020-04-03,135.0
2020-04-04,72.0
2020-04-05,39.0
2020-04-06,119.0
2020-04-07,80.0
2020-04-08,91.0
2020-04-09,97.0
2020-04-10,48.0
2020-04-11,40.0
2020-04-12,37.0
2020-04-13,44.0
2020-04-14,67.0
2020-04-15,49.0
2020-04-16,29.0
2020-04-17,32.0
2020-04-18,18.0
2020-04-19,11.0
2020-04-20,32.0
2020-04-21,31.0
2020-04-22,21.0
2020-04-23,31.0
2020-04-24,22.0
2020-04-25,13.0
2020-04-26,8.0
2020-04-27,18.0
2020-04-28,22.0
2020-04-29,14.0
2020-04-30,13.0
2020-05-01,17.0
2020-05-02,9.0
2020-05-03,5.0
2020-05-04,8.0
2020-05-05,11.0
2020-05-06,19.0
2020-05-07,5.0
2020-05-08,11.0
2020-05-09,7.0
2020-05-10,0.0
2020-05-11,7.0
2020-05-12,10.0
2020-05-13,9.0
2020-05-14,5.0
2020-05-15,4.0
2020-05-16,0.0
2020-05-17,2.0
2020-05-18,4.0
2020-05-19,4.0
2020-05-20,4.0
2020-05-21,0.0
2020-05-22,5.0
2020-05-23,6.0
2020-05-24,2.0
2020-05-25,0.0
2020-05-26,3.0
2020-05-27,2.0
2020-05-28,2.0
2020-05-29,3.0
2020-05-30,1.0
2020-05-31,1.0
2020-06-01,0.0
2020-06-02,4.0
2020-06-03,2.0
2020-06-04,3.0
2020-06-05,2.0
2020-06-06,2.0
2020-06-07,2.0
2020-06-08,1.0
2020-06-09,3.0
2020-06-10,1.0
2020-06-11,4.0
2020-06-12,7.0
2020-06-13,0.0
2020-06-14,1.0
2020-06-15,3.0
2020-06-16,8.0
2020-06-17,5.0
2020-06-18,2.0
2020-06-19,6.0
2020-06-20,2.0
2020-06-21,2.0
2020-06-22,11.0
2020-06-23,6.0
2020-06-24,9.0
2020-06-25,3.0
2020-06-26,6.0
2020-06-27,2.0
2020-06-28,8.0
2020-06-29,16.0
2020-06-30,17.0
2020-07-01,9.0
2020-07-02,25.0
2020-07-03,13.0
2020-07-04,3.0
2020-07-05,7.0
2020-07-06,13.0
2020-07-07,16.0
2020-07-08,16.0
2020-07-09,12.0
2020-07-10,14.0
2020-07-11,9.0
2020-07-12,6.0
2020-07-13,13.0
2020-07-14,20.0
2020-07-15,16.0
2020-07-16,14.0
2020-07-17,16.0
2020-07-18,10.0
2020-07-19,6.0
2020-07-20,13.0
2020-07-21,6.0
2020-07-22,11.0
2020-07-23,11.0
2020-07-24,15.0
2020-07-25,12.0
2020-07-26,7.0
2020-07-27,21.0
2020-07-28,28.0
2020-07-29,40.0
2020-07-30,21.0
2020-07-31,19.0
2020-08-01,27.0
2020-08-02,13.0
2020-08-03,19.0
2020-08-04,14.0
2020-08-05,19.0
2020-08-06,18.0
2020-08-07,22.0
2020-08-08,16.0
2020-08-09,6.0
2020-08-10,26.0
2020-08-11,25.0
2020-08-12,24.0
2020-08-13,38.0
2020-08-14,24.0
2020-08-15,25.0
2020-08-16,19.0
2020-08-17,34.0
2020-08-18,42.0
2020-08-19,48.0
2020-08-20,75.0
2020-08-21,63.0
2020-08-22,45.0
2020-08-23,31.0
2020-08-24,68.0
2020-08-25,68.0
2020-08-26,65.0
2020-08-27,76.0
2020-08-28,81.0
2020-08-29,61.0
2020-08-30,47.0
2020-08-31,93.0
2020-09-01,96.0
2020-09-02,96.0
2020-09-03,120.0
2020-09-04,136.0
2020-09-05,98.0
2020-09-06,60.0
2020-09-07,123.0
2020-09-08,117.0
2020-09-09,145.0
2020-09-10,179.0
2020-09-11,178.0
2020-09-12,92.0
2020-09-13,102.0
2020-09-14,130.0
2020-09-15,160.0
2020-09-16,143.0
2020-09-17,175.0
2020-09-18,115.0
2020-09-19,80.0
2020-09-20,64.0
2020-09-21,92.0
2020-09-22,136.0
2020-09-23,121.0
2020-09-24,81.0
2020-09-25,84.0
2020-09-26,51.0
2020-09-27,29.0
2020-09-28,73.0
2020-09-29,86.0
2020-09-30,79.0
2020-10-01,105.0
2020-10-02,89.0
2020-10-03,98.0
2020-10-04,88.0
2020-10-05,132.0
2020-10-06,154.0
2020-10-07,193.0
2020-10-08,197.0
2020-10-09,210.0
2020-10-10,195.0
2020-10-11,144.0
2020-10-12,255.0
2020-10-13,305.0
2020-10-14,320.0
2020-10-15,464.0
2020-10-16,378.0
2020-10-17,322.0
2020-10-18,355.0
2020-10-19,584.0
2020-10-20,685.0
2020-10-21,785.0
2020-10-22,820.0
2020-10-23,1017.0
2020-10-24,609.0
2020-10-25,553.0
2020-10-26,1256.0
2020-10-27,1292.0
2020-10-28,1295.0
2020-10-29,1273.0
2020-10-30,1163.0
2020-10-31,865.0
2020-11-01,823.0
2020-11-02,1596.0
2020-11-03,1374.0
2020-11-04,1383.0
2020-11-05,1245.0
2020-11-06,1172.0
2020-11-07,842.0
2020-11-08,743.0
2020-11-09,1354.0
2020-11-10,1300.0
2020-11-11,1009.0
2020-11-12,945.0
2020-11-13,860.0
2020-11-14,636.0
2020-11-15,376.0
2020-11-16,798.0
2020-11-17,665.0
2020-11-18,564.0
2020-11-19,536.0
2020-11-20,455.0
2020-11-21,368.0
2020-11-22,252.0
2020-11-23,530.0
2020-11-24,360.0
2020-11-25,421.0
2020-11-26,393.0
2020-11-27,318.0
2020-11-28,215.0
2020-11-29,189.0
2020-11-30,353.0
2020-12-01,308.0
2020-12-02,370.0
2020-12-03,361.0
2020-12-04,346.0
2020-12-05,250.0
2020-12-06,165.0
2020-12-07,368.0
2020-12-08,288.0
2020-12-09,324.0
2020-12-10,280.0
2020-12-11,245.0
2020-12-12,197.0
2020-12-13,143.0
2020-12-14,291.0
2020-12-15,295.0
2020-12-16,282.0
2020-12-17,230.0
2020-12-18,258.0
2020-12-19,175.0
2020-12-20,140.0
2020-12-21,296.0
2020-12-22,273.0
2020-12-23,263.0
2020-12-24,226.0
2020-12-25,109.0
2020-12-26,182.0
2020-12-27,206.0
2020-12-28,343.0
2020-12-29,319.0
2020-12-30,291.0
2020-12-31,236.0
2021-01-01,125.0
2021-01-02,227.0
2021-01-03,241.0
2021-01-04,423.0
2021-01-05,356.0
2021-01-06,332.0
2021-01-07,312.0
2021-01-08,247.0
2021-01-09,164.0
2021-01-10,117.0
2021-01-11,311.0
2021-01-12,181.0
2021-01-13,232.0
2021-01-14,202.0
2021-01-15,215.0
2021-01-16,177.0
2021-01-17,127.0
2021-01-18,241.0
2021-01-19,215.0
2021-01-20,244.0
2021-01-21,225.0
2021-01-22,206.0
2021-01-23,126.0
2021-01-24,90.0
2021-01-25,259.0
2021-01-26,199.0
2021-01-27,211.0
2021-01-28,203.0
2021-01-29,200.0
2021-01-30,127.0
2021-01-31,117.0
2021-02-01,245.0
2021-02-02,217.0
2021-02-03,262.0
2021-02-04,182.0
2021-02-05,184.0
2021-02-06,124.0
2021-02-07,96.0
2021-02-08,199.0
2021-02-09,192.0
2021-02-10,170.0
2021-02-11,133.0
2021-02-12,167.0
2021-02-13,115.0
2021-02-14,91.0
2021-02-15,194.0
2021-02-16,164.0
2021-02-17,148.0
2021-02-18,157.0
2021-02-19,191.0
2021-02-20,118.0
2021-02-21,100.0
2021-02-22,236.0
2021-02-23,187.0
2021-02-24,143.0
2021-02-25,156.0
2021-02-26,153.0
2021-02-27,121.0
2021-02-28,124.0
2021-03-01,199.0
2021-03-02,188.0
2021-03-03,152.0
2021-03-04,149.0
2021-03-05,183.0
2021-03-06,118.0
2021-03-07,82.0
2021-03-08,210.0
2021-03-09,177.0
2021-03-10,168.0
2021-03-11,153.0
2021-03-12,179.0
2021-03-13,112.0
2021-03-14,108.0
2021-03-15,197.0
2021-03-16,218.0
2021-03-17,231.0
2021-03-18,197.0
2021-03-19,208.0
2021-03-20,131.0
2021-03-21,106.0
2021-03-22,246.0
2021-03-23,215.0
2021-03-24,222.0
2021-03-25,255.0
2021-03-26,234.0
2021-03-27,155.0
2021-03-28,136.0
2021-03-29,276.0
2021-03-30,248.0
2021-03-31,244.0
2021-04-01,238.0
2021-04-02,134.0
2021-04-03,173.0
2021-04-04,133.0
2021-04-05,143.0
2021-04-06,290.0
2021-04-07,258.0
2021-04-08,281.0
2021-04-09,270.0
2021-04-10,205.0
2021-04-11,126.0
2021-04-12,306.0
2021-04-13,249.0
2021-04-14,249.0
2021-04-15,212.0
2021-04-16,213.0
2021-04-17,148.0
2021-04-18,139.0
2021-04-19,293.0
2021-04-20,241.0
2021-04-21,250.0
2021-04-22,207.0
2021-04-23,230.0
2021-04-24,175.0
2021-04-25,134.0
2021-04-26,256.0
2021-04-27,194.0
2021-04-28,185.0
2021-04-29,184.0
2021-04-30,182.0
2021-05-01,131.0
2021-05-02,96.0
2021-05-03,190.0
2021-05-04,168.0
2021-05-05,178.0
2021-05-06,176.0
2021-05-07,159.0
2021-05-08,129.0
2021-05-09,90.0
2021-05-10,167.0
2021-05-11,116.0
2021-05-12,147.0
2021-05-13,64.0
2021-05-14,114.0
2021-05-15,84.0
2021-05-16,73.0
2021-05-17,156.0
2021-05-18,134.0
2021-05-19,128.0
2021-05-20,128.0
2021-05-21,121.0
2021-05-22,83.0
2021-05-23,77.0
2021-05-24,59.0
2021-05-25,146.0
2021-05-26,119.0
2021-05-27,88.0
2021-05-28,93.0
2021-05-29,59.0
2021-05-30,37.0
2021-05-31,103.0
2021-06-01,56.0
2021-06-02,51.0
2021-06-03,58.0
2021-06-04,44.0
2021-06-05,37.0
2021-06-06,21.0
2021-06-07,52.0
2021-06-08,38.0
2021-06-09,35.0
2021-06-10,24.0
2021-06-11,29.0
2021-06-12,22.0
2021-06-13,15.0
2021-06-14,26.0
2021-06-15,15.0
2021-06-16,22.0
2021-06-17,9.0
2021-06-18,11.0
2021-06-19,10.0
2021-06-20,7.0
2021-06-21,17.0
2021-06-22,8.0
2021-06-23,7.0
2021-06-24,12.0
2021-06-25,6.0
2021-06-26,2.0
2021-06-27,5.0
2021-06-28,16.0
2021-06-29,5.0
2021-06-30,
2021-07-01,
2021-07-02,
2021-07-03,
2021-07-04,1092.0
2021-07-05,
2021-07-06,
2021-07-07,
2021-07-08,
2021-07-09,
2021-07-10,
2021-07-11,206.0
2021-07-12,
2021-07-13,
2021-07-14,
2021-07-15,
2021-07-16,
2021-07-17,
2021-07-18,323.0
2021-07-19,
2021-07-20,
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-24,
2021-07-25,455.0
2021-07-26,
2021-07-27,
2021-07-28,
2021-07-29,
2021-07-30,
2021-07-31,
2021-08-01,556.0
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-07,
2021-08-08,705.0
2021-08-09,
2021-08-10,
2021-08-11,
2021-08-12,
2021-08-13,
2021-08-14,
2021-08-15,1040.0
2021-08-16,
2021-08-17,
2021-08-18,
2021-08-19,
2021-08-20,
2021-08-21,
2021-08-22,1500.0
2021-08-23,
2021-08-24,
2021-08-25,
2021-08-26,
2021-08-27,
2021-08-28,
2021-08-29,1265.0
2021-08-30,
2021-08-31,
2021-09-01,
2021-09-02,
2021-09-03,
2021-09-04,
2021-09-05,1282.0
2021-09-06,
2021-09-07,
2021-09-08,
2021-09-09,
2021-09-10,
2021-09-11,
2021-09-12,1265.0
2021-09-13,
2021-09-14,
2021-09-15,
2021-09-16,
2021-09-17,
2021-09-18,
2021-09-19,852.0
2021-09-20,
2021-09-21,
2021-09-22,
2021-09-23,
2021-09-24,
2021-09-25,
2021-09-26,738.0
2021-09-27,
2021-09-28,
2021-09-29,
2021-09-30,
2021-10-01,
2021-10-02,
2021-10-03,541.0
2021-10-04,
2021-10-05,
2021-10-06,
2021-10-07,
2021-10-08,
2021-10-09,
2021-10-10,474.0
2021-10-11,
2021-10-12,
2021-10-13,
2021-10-14,
2021-10-15,
2021-10-16,
2021-10-17,600.0
2021-10-18,
2021-10-19,
2021-10-20,
2021-10-21,
2021-10-22,
2021-10-23,
2021-10-24,663.0
2021-10-25,
2021-10-26,
2021-10-27,
2021-10-28,
2021-10-29,
2021-10-30,
2021-10-31,710.0
2021-11-01,
2021-11-02,
2021-11-03,
2021-11-04,
2021-11-05,
2021-11-06,
2021-11-07,794.0
2021-11-08,
2021-11-09,
2021-11-10,
2021-11-11,
2021-11-12,
2021-11-13,
2021-11-14,957.0
2021-11-15,
2021-11-16,
2021-11-17,
2021-11-18,
2021-11-19,
2021-11-20,
2021-11-21,2173.0
2021-11-22,
2021-11-23,
2021-11-24,
2021-11-25,
2021-11-26,
2021-11-27,
2021-11-28,3550.0
2021-11-29,
2021-11-30,
2021-12-01,
2021-12-02,
2021-12-03,
2021-12-04,
2021-12-05,5537.0
2021-12-06,
2021-12-07,
2021-12-08,
2021-12-09,
2021-12-10,
2021-12-11,
2021-12-12,6415.0
2021-12-13,
2021-12-14,
2021-12-15,
2021-12-16,
2021-12-17,
2021-12-18,
2021-12-19,6333.0
2021-12-20,
2021-12-21,
2021-12-22,
2021-12-23,
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,
2021-12-28,
2021-12-29,
2021-12-30,
2021-12-31,
2022-01-01,
2022-01-02,21652.0
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,23808.0
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,24420.0
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,28703.0
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,27042.0
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,22212.0
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,13067.0
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,7789.0
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,5795.0
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,6961.0
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,9575.0
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,11151.0
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,8810.0
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,
2022-05-02,
2022-05-03,
2022-05-04,
2022-05-05,
2022-05-06,
2022-05-07,
2022-05-08,
2022-05-09,
2022-05-10,
2022-05-11,
2022-05-12,
2022-05-13,
2022-05-14,
2022-05-15,
2022-05-16,
2022-05-17,
2022-05-18,
2022-05-19,
2022-05-20,
2022-05-21,
2022-05-22,
2022-05-23,
2022-05-24,
2022-05-25,
2022-05-26,
2022-05-27,
2022-05-28,
2022-05-29,
2022-05-30,
2022-05-31,
2022-06-01,
2022-06-02,
2022-06-03,
2022-06-04,
2022-06-05,
2022-06-06,
2022-06-07,
2022-06-08,
2022-06-09,
2022-06-10,
2022-06-11,
2022-06-12,
2022-06-13,
2022-06-14,
2022-06-15,
2022-06-16,
2022-06-17,
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,
2022-06-22,
2022-06-23,
2022-06-24,
2022-06-25,
2022-06-26,
2022-06-27,
2022-06-28,
2022-06-29,
